Plot,Real.rich,Legume,Hed,PD,MNND,MPD,H,Simp,biomass2012,litter2012,biomass2013,biomass2014,ave.biomass,Light.tau,LAI,C.change.deep,C.change.surf,N.change.deep,N.change.surf,mean.N.change,poll_total,flwr_total,Mass.loss.1month,Mass.loss.2month,GRASS,SOAL,MOFI,ASTU,DECA,Damage_effect,bugs,bug.rich
X57,4,N,1.385899063,84.63100169,9.052145261,53.40328604,0.423609189,0.193982696,65.2,19.3,31.39,22.13,39.57333333,0.013,8.11,-0.248,-0.092,0.242,0.062,0.152,0,0,2.573,4.149,-0.485983802,NA,NA,NA,NA,-0.485983802,5,4
X31,2,N,0.693147181,110.4567581,110.4567581,110.4567581,0.139923052,0.061018118,118.09,54.49,65.07,59.33,80.83,0.025,6.13,0.004,0.019,0.066,0.032,0.049,157,51007.125,3.421,4.2516,NA,-0.011146521,NA,NA,NA,-0.011146521,51,16
X91,2,N,0.693147181,110.4567581,110.4567581,110.4567581,0.500873882,0.320408184,64.64,19.25,52.51,64.27,60.47333333,0.043,5.38,0.842,0.253,0.115,0.051,0.083,254,36133.11111,2.809,4.043,NA,-0.033552637,NA,NA,NA,-0.033552637,40,7
X84,3,N,1.049725022,113.8941355,41.40208925,75.92942369,0.703862935,0.467368115,93.4,86.89,49.22,32.09,58.23666667,0.055,4.31,1.393,0.475,0.274,0.001,0.1375,22,72834.83333,2.933,3.476,NA,0.030550904,NA,NA,NA,0.030550904,16,6
X73,2,N,0.693147181,154.7004937,154.7004937,154.7004937,0.371223001,0.21448639,24.73,1.66,20.71,57.94,34.46,0.18,3.57,0.805,0.626,0.234,-0.01,0.112,330,2903,2.604,3.333,NA,NA,NA,0.035800112,NA,0.035800112,8,5
X59,2,N,0.693147181,161.7204306,161.7204306,161.7204306,0.091645536,0.03607465,69.66,64.18,92.44,52.11,71.40333333,0.046,6.18,0.104,1.059,0.123,0.015,0.069,214,709.8571429,3.233,4.121,NA,NA,-0.069615561,NA,NA,-0.069615561,7,4
X15,2,N,0.693147181,161.7204306,161.7204306,161.7204306,0.547156452,0.361265548,68.59,35.29,103.9,55.31,75.93333333,0.037,4.83,-0.278,-0.029,-0.029,0.027,-0.001,203,14232.07143,3.591,3.993,NA,-0.016164703,-0.544272786,NA,NA,-0.560437489,10,7
X37,4,N,1.309386245,188.2177943,58.77839129,95.12538987,0.713863972,0.487008775,73.62,86.37,59.81,103.18,78.87,0.012,7.64,0.186,0.463,0.054,0.005,0.0295,280,8941.3,3.427,3.393,NA,0.139453233,-0.809081482,NA,NA,-0.669628249,8,6
X63,2,LP,0.693147181,197.9783351,197.9783351,197.9783351,0.646154733,0.453748395,68.05,7.14,49.81,31.21,49.69,0.05,6.6,0.901,-0.549,0.184,-0.038,0.073,151,1462.535714,3.218,4.109,NA,NA,NA,NA,0.24887516,0.24887516,17,2
X24,2,N,0.693147181,197.9783351,197.9783351,197.9783351,0.272800894,0.143110511,44.99,15.65,27.51,17.01,29.83666667,0.069,4.25,-0.531,0.143,-0.003,0.007,0.002,266,2394.888889,2.907,3.315,NA,NA,NA,-0.295166232,NA,-0.295166232,8,7
